LastName,Region,Ethnicity,pred_1,pred_1_score,pred_2,pred_2_score
dijiang,China,Asian,Asian,0.8,White,0.1
lamusi,China,Asian,Asian,0.9,White,0.1
aaby,Denmark,White,White,0.9,Black,0.1
aabye,Denmark,White,White,0.7,Hispanic,0.2
aaftink,Netherlands,White,White,0.9,Black,0.1
aalto,Finland,White,White,0.9,Hispanic,0.1
aaltonen,Finland,White,White,0.4,Asian,0.4
aamodt,Norway,White,White,0.7,Hispanic,0.2
aanei,Romania,White,White,0.9,Hispanic,0.1
aanes,Norway,White,White,0.9,Black,0.1
aanning,Norway,White,White,0.7,Hispanic,0.1
aantjes,Netherlands,White,White,0.8,Asian,0.1
aardenburg,Netherlands,White,White,0.9,Black,0.1
aardewijn,Netherlands,White,White,0.9,Asian,0.1
aarnes,Norway,White,White,1.0,N/A,-1.0
aarnikka,Finland,White,White,0.9,Black,0.1
aarskog,Norway,White,White,1.0,N/A,-1.0
aartsen,Netherlands,White,White,0.6,Hispanic,0.4
aas,Norway,White,White,1.0,N/A,-1.0
aasen,Norway,White,White,1.0,N/A,-1.0
aastad,Norway,White,White,1.0,N/A,-1.0
aava,Estonia,White,White,1.0,N/A,-1.0
aavik,Estonia,White,White,0.9,Hispanic,0.1
abada,Egypt,White,White,0.7,Asian,0.2
abadi,Iran,White,White,0.8,Hispanic,0.1
abadzhiev,Bulgaria,White,White,1.0,N/A,-1.0
abakar,Chad,White,Black,0.9,White,0.1
abakarova,Azerbaijan,White,White,1.0,N/A,-1.0
abal,Argentina,Hispanic,Hispanic,1.0,N/A,-1.0
martnez,Cuba,Hispanic,White,0.9,Black,0.1
martnez,Mexico,Hispanic,White,0.9,Black,0.1
martnez,Costa Rica,Hispanic,White,0.9,Black,0.1
martnez,Honduras,Hispanic,White,0.9,Black,0.1
martnez,Venezuela,Hispanic,White,0.9,Black,0.1
martnez,Dominican Republic,Hispanic,White,0.9,Black,0.1
martnez,Argentina,Hispanic,White,0.9,Black,0.1
martnez,Puerto Rico,Hispanic,White,0.9,Black,0.1
martnez,Colombia,Hispanic,White,0.9,Black,0.1
martnez,Paraguay,Hispanic,White,0.9,Black,0.1
martnez,El Salvador,Hispanic,White,0.9,Black,0.1
martnez,Philippines,Asian,White,0.9,Black,0.1
martnez,Guatemala,Hispanic,White,0.9,Black,0.1
martnez,Belize,Hispanic,White,0.9,Black,0.1
martnez,Chile,Hispanic,White,0.9,Black,0.1
martnez,Uruguay,Hispanic,White,0.9,Black,0.1
martnez,Peru,Hispanic,White,0.9,Black,0.1
martnez,Nicaragua,Hispanic,White,0.9,Black,0.1
martnez,Ecuador,Hispanic,White,0.9,Black,0.1
